
> format
> prettier --write .

[90m.github/workflows/automatic-transcription.yml[39m 36ms (unchanged)
[90m.github/workflows/ci.yml[39m 36ms (unchanged)
[90m.github/workflows/exam-engine.yml[39m 10ms (unchanged)
[[31merror[39m] .github/workflows/finalize-automatic-transcription-pr.yml: SyntaxError: A collection cannot be both a mapping and a sequence (1:1)
[[31merror[39m] [0m[31m[1m>[22m[39m[90m  1 |[39m name[33m:[39m [33mNormalize[39m automatic transcription [33mPR[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 131 |[39m           git config user[33m.[39memail [32m"41898282+github-actions[bot]@users.noreply.github.com"[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 132 |[39m           git add [33m-[39m[33mA[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 133 |[39m           git commit [33m-[39mm [32m"chore: normalize automatic transcription delivery"[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 134 |[39m           git push origin [33mHEAD[39m[33m:[39magent[33m/[39mautomatic[33m-[39mlong[33m-[39mmedia[33m-[39mtranscription
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 135 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m[0m
[[31merror[39m] .github/workflows/finalize-automatic-transcription.yml: SyntaxError: A collection cannot be both a mapping and a sequence (1:1)
[[31merror[39m] [0m[31m[1m>[22m[39m[90m  1 |[39m name[33m:[39m [33mFinalize[39m automatic transcription branch
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m[31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  2 |[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  3 |[39m on[33m:[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  4 |[39m   push[33m:[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  5 |[39m     branches[33m:[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  6 |[39m       [33m-[39m agent[33m/[39mautomatic[33m-[39mlong[33m-[39mmedia[33m-[39mtranscription
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  7 |[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  8 |[39m permissions[33m:[39m
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  9 |[39m   contents[33m:[39m write
[[31merror[39m]  [90m    |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  10 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  11 |[39m jobs[33m:[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  12 |[39m   finalize[33m:[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  13 |[39m     [36mif[39m[33m:[39m github[33m.[39mactor [33m!=[39m [32m'github-actions[bot]'[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  14 |[39m     runs[33m-[39mon[33m:[39m ubuntu[33m-[39mlatest
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  15 |[39m     steps[33m:[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  16 |[39m       [33m-[39m uses[33m:[39m actions[33m/[39mcheckout[33m@[39mv4
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  17 |[39m         [36mwith[39m[33m:[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  18 |[39m           ref[33m:[39m agent[33m/[39mautomatic[33m-[39mlong[33m-[39mmedia[33m-[39mtranscription
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  19 |[39m           fetch[33m-[39mdepth[33m:[39m [35m0[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  20 |[39m       [33m-[39m uses[33m:[39m oven[33m-[39msh[33m/[39msetup[33m-[39mbun[33m@[39mv2
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  21 |[39m       [33m-[39m run[33m:[39m bun install [33m--[39mfrozen[33m-[39mlockfile
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  22 |[39m       [33m-[39m name[33m:[39m [33mUpdate[39m canonical task and [33mCI[39m ledgers
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  23 |[39m         run[33m:[39m [33m|[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  24 |[39m           python [33m-[39m [33m<<[39m[32m'PY'[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  25 |[39m           [36mfrom[39m pathlib [36mimport[39m [33mPath[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  26 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  27 |[39m           tasks [33m=[39m [33mPath[39m([32m'TASKS.md'[39m)
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  28 |[39m           text [33m=[39m tasks[33m.[39mread_text()
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  29 |[39m           old [33m=[39m [32m''[39m[32m'## P1-010 — Audio transcription review-and-apply[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  30 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  31 |[39m [33m-[39m [33m**[39m[33mStatus[39m[33m:[39m[33m**[39m [ ]
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  32 |[39m [33m-[39m [33m**[39m[33mPriority[39m[33m:[39m[33m**[39m [33mP1[39m after [33mM1[39m validation
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  33 |[39m [33m-[39m [33m**[39m[33mSize[39m[33m:[39m[33m**[39m [33mL[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  34 |[39m [33m-[39m [33m**[39m[33mDepends[39m on[33m:[39m[33m**[39m [33mP1[39m[33m-[39m[35m008[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  35 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  36 |[39m [37m[41m[1m#[22m[49m[39m[37m[41m[1m#[22m[49m[39m[37m[41m[1m#[22m[49m[39m [33mNon[39m[33m-[39mnegotiable boundaries
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  37 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  38 |[39m [33m-[39m timestamped source sections[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  39 |[39m [33m-[39m no automatic trusted transcript[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  40 |[39m [33m-[39m cancellation[33m,[39m timeout and retry[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  41 |[39m [33m-[39m explicit language and speaker uncertainty[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  42 |[39m [33m-[39m outputs retain transcript[33m-[39msection references[33m.[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  43 |[39m [32m''[39m[32m'[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  44 |[39m           [36mnew[39m [33m=[39m [32m''[39m[32m'## P1-010 — Audio transcription review-and-apply[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  45 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  46 |[39m [33m-[39m [33m**[39m[33mStatus[39m[33m:[39m[33m**[39m [[33m~[39m]
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  47 |[39m [33m-[39m [33m**[39m[33mPriority[39m[33m:[39m[33m**[39m active [33mP1[39m delivery
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  48 |[39m [33m-[39m [33m**[39m[33mSize[39m[33m:[39m[33m**[39m [33mL[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  49 |[39m [33m-[39m [33m**[39m[33mDepends[39m on[33m:[39m[33m**[39m [33mP1[39m[33m-[39m[35m010[39m[33mA[39m durable long[33m-[39mmedia intake
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  50 |[39m [33m-[39m [33m**[39m[33mCurrent[39m [33mPR[39m[33m:[39m[33m**[39m [37m[41m[1m#[22m[49m[39m[35m47[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  51 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  52 |[39m [37m[41m[1m#[22m[49m[39m[37m[41m[1m#[22m[49m[39m[37m[41m[1m#[22m[49m[39m [33mDelivered[39m [36min[39m [33mP1[39m[33m-[39m[35m010[39m[33mA[39m [33m/[39m [33mPR[39m [37m[41m[1m#[22m[49m[39m[35m46[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  53 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  54 |[39m [33m-[39m complete local audio[33m/[39mvideo storage [36min[39m [35m8[39m [33mMB[39m [33mIndexedDB[39m chunks[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  55 |[39m [33m-[39m [35m4[39m [33mGB[39m local boundary[33m,[39m quota check[33m,[39m cancellation and [33mSHA[39m[33m-[39m[35m256[39m verification[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  56 |[39m [33m-[39m local player[33m,[39m [33mSRT[39m[33m/[39m[33mVTT[39m[33m/[39m[33mTXT[39m [36mimport[39m and editable timestamp blocks[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  57 |[39m [33m-[39m only approved non[33m-[39mempty transcript blocks become source chunks[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  58 |[39m [33m-[39m real [35m18[39m [33mMB[39m [33mChromium[39m upload[33m/[39mapply[33m/[39mreload proof[33m.[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  59 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  60 |[39m [37m[41m[1m#[22m[49m[39m[37m[41m[1m#[22m[49m[39m[37m[41m[1m#[22m[49m[39m [33mIn[39m verification [36min[39m [33mP1[39m[33m-[39m[35m010[39m[33mB[39m [33m/[39m [33mPR[39m [37m[41m[1m#[22m[49m[39m[35m47[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  61 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  62 |[39m [33m-[39m optional server[33m-[39mside [33mOpenAI[39m [33mAudio[39m [33mTranscriptions[39m provider[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  63 |[39m [33m-[39m exact provider[33m/[39mmodel[33m/[39mfile[33m/[39msize disclosure and explicit consent[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  64 |[39m [33m-[39m [35m24[39m [33mMB[39m provider[33m-[39mrequest boundary and separate compressed provider[33m-[39mcopy option[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  65 |[39m [33m-[39m cancellation[33m,[39m retry[33m,[39m interrupted[33m-[39mtab recovery and persisted attempt count[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  66 |[39m [33m-[39m separate local provider candidate [36mwith[39m timestamps[33m,[39m speaker labels and uncertainty warnings[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  67 |[39m [33m-[39m visible uncovered intervals instead [36mof[39m model[33m-[39mmemory gap filling[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  68 |[39m [33m-[39m stale [32m`sourceUploadId`[39m rejection after recording replacement[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  69 |[39m [33m-[39m candidate loads into the editor only [36mwith[39m [32m`status: "draft"`[39m[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  70 |[39m [33m-[39m current source chunks remain unchanged until manual review and [33mApply[39m[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  71 |[39m [33m-[39m deterministic contract[33m/[39mevals and cancellation [37m[41m[1m→[22m[49m[39m retry [37m[41m[1m→[22m[49m[39m draft [37m[41m[1m→[22m[49m[39m reload [33mChromium[39m proof[33m.[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  72 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  73 |[39m [37m[41m[1m#[22m[49m[39m[37m[41m[1m#[22m[49m[39m[37m[41m[1m#[22m[49m[39m [33mRemaining[39m [33mP1[39m[33m-[39m[35m010[39m[33mC[39m work
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  74 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  75 |[39m [33m-[39m automatic local audio extraction[33m/[39mtranscoding [36mfor[39m originals above one provider request[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  76 |[39m [33m-[39m resumable multi[33m-[39mpart provider jobs and partial[33m-[39mrange recovery[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  77 |[39m [33m-[39m streaming backup [36mfor[39m raw media[33m,[39m editable transcript drafts and provider candidates[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  78 |[39m [33m-[39m live licensed [33mHebrew[39m[33m/[39m[33mRussian[39m lecture quality[33m,[39m latency and cost validation[33m.[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  79 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  80 |[39m [37m[41m[1m#[22m[49m[39m[37m[41m[1m#[22m[49m[39m[37m[41m[1m#[22m[49m[39m [33mNon[39m[33m-[39mnegotiable boundaries
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  81 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  82 |[39m [33m-[39m no hidden upload during storage[33m,[39m navigation[33m,[39m playback or integrity checking[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  83 |[39m [33m-[39m timestamped source sections[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  84 |[39m [33m-[39m no automatic trusted transcript[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  85 |[39m [33m-[39m cancellation[33m,[39m timeout and retry[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  86 |[39m [33m-[39m explicit language and speaker uncertainty[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  87 |[39m [33m-[39m missing intervals remain visible[33m;[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  88 |[39m [33m-[39m outputs retain transcript[33m-[39msection references[33m.[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  89 |[39m [32m''[39m[32m'[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  90 |[39m           [36mif[39m old not [36min[39m text[33m:[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  91 |[39m               raise [33mSystemExit[39m([32m'P1-010 task block not found'[39m)
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  92 |[39m           tasks[33m.[39mwrite_text(text[33m.[39mreplace(old[33m,[39m [36mnew[39m[33m,[39m [35m1[39m))
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  93 |[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  94 |[39m           ci [33m=[39m [33mPath[39m([32m'.github/workflows/ci.yml'[39m)
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  95 |[39m           ci_text [33m=[39m ci[33m.[39mread_text()
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  96 |[39m           contract_anchor [33m=[39m [32m''[39m[32m'      - name: Verify per-question evidence contract[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  97 |[39m         run[33m:[39m npm run verify[33m:[39mper[33m-[39mquestion[33m-[39mevidence[33m-[39mcontract
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  98 |[39m [32m''[39m[32m'[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m  99 |[39m           contract_insert [33m=[39m contract_anchor [33m+[39m [32m''[39m[32m'      - name: Verify automatic transcription contract[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 100 |[39m         run[33m:[39m npm run verify[33m:[39mautomatic[33m-[39mtranscription[33m-[39mcontract
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 101 |[39m [32m''[39m[32m'[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 102 |[39m           [36mif[39m [32m'Verify automatic transcription contract'[39m not [36min[39m ci_text[33m:[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 103 |[39m               [36mif[39m contract_anchor not [36min[39m ci_text[33m:[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 104 |[39m                   raise [33mSystemExit[39m([32m'CI contract anchor not found'[39m)
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 105 |[39m               ci_text [33m=[39m ci_text[33m.[39mreplace(contract_anchor[33m,[39m contract_insert[33m,[39m [35m1[39m)
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 106 |[39m           eval_anchor [33m=[39m [32m''[39m[32m'      - name: Run workspace backup v2 evaluations[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 107 |[39m         id[33m:[39m workspace_backup_eval
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 108 |[39m         [36mcontinue[39m[33m-[39mon[33m-[39merror[33m:[39m [36mtrue[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 109 |[39m         run[33m:[39m npm run eval[33m:[39mworkspace[33m-[39mbackup [35m2[39m[33m>[39m[33m&[39m[35m1[39m [33m|[39m tee workspace[33m-[39mbackup[33m-[39meval[33m-[39moutput[33m.[39mtxt
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 110 |[39m [32m''[39m[32m'[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 111 |[39m           eval_insert [33m=[39m eval_anchor [33m+[39m [32m''[39m[32m'      - name: Run automatic transcription evaluations[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 112 |[39m         run[33m:[39m npm run eval[33m:[39mautomatic[33m-[39mtranscription
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 113 |[39m [32m''[39m[32m'[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 114 |[39m           [36mif[39m [32m'Run automatic transcription evaluations'[39m not [36min[39m ci_text[33m:[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 115 |[39m               [36mif[39m eval_anchor not [36min[39m ci_text[33m:[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 116 |[39m                   raise [33mSystemExit[39m([32m'CI eval anchor not found'[39m)
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 117 |[39m               ci_text [33m=[39m ci_text[33m.[39mreplace(eval_anchor[33m,[39m eval_insert[33m,[39m [35m1[39m)
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 118 |[39m           ci[33m.[39mwrite_text(ci_text)
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 119 |[39m           [33mPY[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 120 |[39m       [33m-[39m name[33m:[39m [33mFormat[39m and generate routes
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 121 |[39m         run[33m:[39m [33m|[39m
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 122 |[39m           npm run format
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 123 |[39m           npm run build
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 124 |[39m           rm [33m.[39mgithub[33m/[39mworkflows[33m/[39mfinalize[33m-[39mautomatic[33m-[39mtranscription[33m.[39myml
[[31merror[39m]  [90m     |[39m [31m[1m^[22m[39m
[[31merror[39m] [31m[1m>[22m[39m[90m 125 |[39m       [33m-[39m name[33m:[39m [33mCommit[39m normalized branch
